File,X,Y,Accuracy,Recall,True Positives (TP),Total Positives (TP+FN)
awe_l1c_q20_2024138T1131_02750_v01.nc,7,1,0.6928,0.3273,54,165
awe_l1c_q20_2024138T1131_02750_v01.nc,7,2,0.7325,0.2254,32,142
awe_l1c_q20_2024141T0907_02795_v01.nc,7,0,0.8715,0.0685,10,146
awe_l1c_q20_2024141T0907_02795_v01.nc,7,1,0.9076,0.1017,12,118
awe_l1c_q20_2024141T0907_02795_v01.nc,7,2,0.9226,0.0127,1,79
awe_l1c_q20_2024144T0644_02840_v01.nc,7,0,0.897,0.4762,60,126
awe_l1c_q20_2024144T0644_02840_v01.nc,7,1,0.7551,0.1472,34,231
awe_l1c_q20_2024144T0644_02840_v01.nc,7,2,0.8413,0.3616,81,224
awe_l1c_q20_2024147T0418_02885_v01.nc,7,0,0.6222,0.5232,203,388
awe_l1c_q20_2024147T0418_02885_v01.nc,7,1,0.5531,0.4618,230,498
awe_l1c_q20_2024147T0418_02885_v01.nc,7,2,0.6003,0.6356,293,461
