Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3311,0,3281,0.4977245145631068,1.0
0.01,684,2627,2,3279,0.6011832524271845,0.9993904297470283
0.02,812,2499,5,3276,0.6201456310679612,0.9984760743675709
0.03,899,2412,7,3274,0.6330400485436893,0.9978665041145992
0.04,974,2337,7,3274,0.6444174757281553,0.9978665041145992
0.05,1042,2269,7,3274,0.6547330097087378,0.9978665041145992
0.06,1112,2199,9,3272,0.6650485436893204,0.9972569338616275
0.07,1171,2140,13,3268,0.6733919902912622,0.9960377933556842
0.08,1227,2084,14,3267,0.6817354368932039,0.9957330082291984
0.09,1284,2027,21,3260,0.6893203883495146,0.9935995123437976
0.1,1341,1970,25,3256,0.6973604368932039,0.9923803718378543
0.11,1405,1906,28,3253,0.7066140776699029,0.9914660164583968
0.12,1454,1857,37,3244,0.7126820388349514,0.9887229503200243
0.13,1496,1815,43,3238,0.7181432038834952,0.9868942395611094
0.14,1554,1757,49,3232,0.7260315533980582,0.9850655288021944
0.15,1609,1702,58,3223,0.7330097087378641,0.9823224626638221
0.16,1648,1663,69,3212,0.7372572815533981,0.9789698262724779
0.17,1684,1627,76,3205,0.7416565533980582,0.9768363303870771
0.18,1730,1581,83,3198,0.7475728155339806,0.9747028345016763
0.19,1777,1534,91,3190,0.7534890776699029,0.9722645534897897
0.2,1831,1480,99,3182,0.7604672330097088,0.9698262724779031
0.21,1874,1437,109,3172,0.7654733009708737,0.9667784212130448
0.22,1930,1381,129,3152,0.7709344660194175,0.9606827186833282
0.23,1979,1332,139,3142,0.7768507281553398,0.9576348674184699
0.24,2032,1279,150,3131,0.7832220873786407,0.9542822310271258
0.25,2086,1225,162,3119,0.7895934466019418,0.950624809509296
0.26,2133,1178,171,3110,0.7953580097087378,0.9478817433709235
0.27,2171,1140,181,3100,0.7996055825242718,0.9448338921060653
0.28,2226,1085,198,3083,0.805370145631068,0.9396525449558062
0.29,2287,1024,223,3058,0.8108313106796117,0.9320329167936605
0.3,2346,965,242,3039,0.8168992718446602,0.9262419993904297
0.31,2401,910,257,3024,0.8229672330097088,0.9216702224931423
0.32,2437,874,278,3003,0.8252427184466019,0.91526973483694
0.33,2492,819,309,2972,0.8288834951456311,0.9058213959158793
0.34,2552,759,340,2941,0.8332827669902912,0.8963730569948186
0.35,2600,711,364,2917,0.8369235436893204,0.8890582139591587
0.36,2655,656,394,2887,0.8407160194174758,0.879914660164584
0.37,2710,601,418,2863,0.8454186893203883,0.8725998171289241
0.38,2755,556,444,2837,0.8483009708737864,0.8646754038402926
0.39,2785,526,474,2807,0.8483009708737864,0.8555318500457177
0.4,2825,486,511,2770,0.8487560679611651,0.8442548003657422
0.41,2863,448,546,2735,0.8492111650485437,0.8335873209387382
0.42,2891,420,579,2702,0.8484526699029126,0.8235294117647058
0.43,2915,396,602,2679,0.8486043689320388,0.8165193538555319
0.44,2936,375,630,2651,0.8475424757281553,0.8079853703139287
0.45,2956,355,651,2630,0.8473907766990292,0.8015848826577263
0.46,2985,326,671,2610,0.8487560679611651,0.7954891801280097
