Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3320,0,3304,0.49879227053140096,1.0
0.01,281,3039,2,3302,0.5409118357487923,0.9993946731234867
0.02,379,2941,3,3301,0.5555555555555556,0.99909200968523
0.03,447,2873,4,3300,0.5656702898550725,0.9987893462469734
0.04,509,2811,4,3300,0.575030193236715,0.9987893462469734
0.05,567,2753,5,3299,0.5836352657004831,0.9984866828087167
0.06,620,2700,6,3298,0.5914855072463768,0.9981840193704601
0.07,674,2646,9,3295,0.5991847826086957,0.9972760290556901
0.08,727,2593,14,3290,0.6064311594202898,0.9957627118644068
0.09,777,2543,17,3287,0.6135265700483091,0.9948547215496368
0.1,837,2483,19,3285,0.6222826086956522,0.9942493946731235
0.11,895,2425,26,3278,0.6299818840579711,0.9921307506053268
0.12,954,2366,30,3274,0.6382850241545893,0.9909200968523002
0.13,1023,2297,36,3268,0.6477958937198067,0.9891041162227603
0.14,1073,2247,37,3267,0.6551932367149759,0.9888014527845036
0.15,1121,2199,43,3261,0.6615338164251208,0.9869854721549637
0.16,1156,2164,49,3255,0.6659118357487923,0.9851694915254238
0.17,1206,2114,61,3243,0.6716485507246377,0.9815375302663438
0.18,1258,2062,63,3241,0.6791968599033816,0.9809322033898306
0.19,1306,2014,67,3237,0.6858393719806763,0.9797215496368039
0.2,1353,1967,76,3228,0.6915760869565217,0.9769975786924939
0.21,1404,1916,85,3219,0.6979166666666666,0.9742736077481841
0.22,1455,1865,93,3211,0.7044082125603864,0.9718523002421308
0.23,1512,1808,100,3204,0.7119565217391305,0.9697336561743342
0.24,1570,1750,107,3197,0.7196557971014492,0.9676150121065376
0.25,1616,1704,126,3178,0.7237318840579711,0.961864406779661
0.26,1655,1665,132,3172,0.728713768115942,0.9600484261501211
0.27,1706,1614,148,3156,0.7339975845410628,0.9552058111380145
0.28,1765,1555,171,3133,0.7394323671497585,0.9482445520581114
0.29,1816,1504,190,3114,0.7442632850241546,0.9424939467312349
0.3,1883,1437,204,3100,0.7522644927536232,0.9382566585956417
0.31,1939,1381,224,3080,0.7576992753623188,0.9322033898305084
0.32,2012,1308,248,3056,0.7650966183574879,0.9249394673123487
0.33,2070,1250,263,3041,0.7715881642512077,0.9203995157384988
0.34,2128,1192,288,3016,0.7765700483091788,0.9128329297820823
0.35,2196,1124,308,2996,0.783816425120773,0.9067796610169492
0.36,2251,1069,338,2966,0.7875905797101449,0.8976997578692494
0.37,2307,1013,369,2935,0.7913647342995169,0.888317191283293
0.38,2363,957,404,2900,0.7945350241545893,0.8777239709443099
0.39,2431,889,451,2853,0.7977053140096618,0.863498789346247
0.4,2496,824,489,2815,0.8017814009661836,0.8519975786924939
0.41,2548,772,517,2787,0.8054045893719807,0.8435230024213075
0.42,2591,729,542,2762,0.8081219806763285,0.835956416464891
0.43,2640,680,585,2719,0.8090277777777778,0.8229418886198547
0.44,2691,629,615,2689,0.8121980676328503,0.8138619854721549
0.45,2748,572,658,2646,0.8143115942028986,0.8008474576271186
0.46,2787,533,692,2612,0.815066425120773,0.7905569007263923
0.47,2829,491,727,2577,0.8161231884057971,0.7799636803874092
0.48,2863,457,759,2545,0.8164251207729468,0.7702784503631961
0.49,2888,432,796,2508,0.8146135265700483,0.7590799031476998
0.5,2901,419,829,2475,0.8115942028985508,0.74909200968523
0.51,2919,401,853,2451,0.8106884057971014,0.7418280871670703
0.52,2943,377,888,2416,0.8090277777777778,0.7312348668280871
0.53,2960,360,922,2382,0.8064613526570048,0.7209443099273608
0.54,2979,341,953,2351,0.8046497584541062,0.7115617433414043
0.55,3004,316,980,2324,0.8043478260869565,0.7033898305084746
0.56,3024,296,1012,2292,0.802536231884058,0.6937046004842615
0.57,3045,275,1047,2257,0.8004227053140096,0.6831113801452785
0.58,3069,251,1090,2214,0.7975543478260869,0.6700968523002422
0.59,3093,227,1137,2167,0.7940821256038647,0.6558716707021792
0.6,3106,214,1167,2137,0.7915157004830918,0.6467917675544794
0.61,3119,201,1220,2084,0.7854770531400966,0.6307506053268765
0.62,3134,186,1259,2045,0.7818538647342995,0.6189467312348669
0.63,3149,171,1291,2013,0.7792874396135265,0.6092615012106537
0.64,3163,157,1334,1970,0.7749094202898551,0.5962469733656174
0.65,3180,140,1364,1940,0.7729468599033816,0.5871670702179177
0.66,3194,126,1405,1899,0.7688707729468599,0.5747578692493946
0.67,3201,119,1443,1861,0.7641908212560387,0.5632566585956417
