Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3291,0,3269,0.49832317073170734,1.0
0.01,404,2887,3,3266,0.5594512195121951,0.9990822881615172
0.02,495,2796,4,3265,0.573170731707317,0.9987763842153564
0.03,584,2707,5,3264,0.5865853658536585,0.9984704802691955
0.04,664,2627,6,3263,0.5986280487804878,0.9981645763230346
0.05,733,2558,7,3262,0.6089939024390244,0.9978586723768736
0.06,788,2503,7,3262,0.6173780487804879,0.9978586723768736
0.07,854,2437,9,3260,0.6271341463414634,0.9972468644845518
0.08,904,2387,10,3259,0.6346036585365854,0.996940960538391
0.09,942,2349,12,3257,0.6400914634146342,0.9963291526460691
0.1,993,2298,13,3256,0.6477134146341463,0.9960232486999082
0.11,1033,2258,18,3251,0.6530487804878049,0.9944937289691037
0.12,1085,2206,20,3249,0.660670731707317,0.9938819210767819
0.13,1129,2162,25,3244,0.6666158536585366,0.9923524013459774
0.14,1192,2099,28,3241,0.6757621951219512,0.9914346895074947
0.15,1225,2066,33,3236,0.6800304878048781,0.9899051697766901
0.16,1274,2017,36,3233,0.6870426829268292,0.9889874579382074
0.17,1312,1979,40,3229,0.6922256097560976,0.9877638421535638
0.18,1355,1936,50,3219,0.6972560975609756,0.9847048026919547
0.19,1393,1898,56,3213,0.7021341463414634,0.9828693790149893
0.2,1435,1856,61,3208,0.7077743902439024,0.9813398592841848
0.21,1480,1811,69,3200,0.7134146341463414,0.9788926277148975
0.22,1527,1764,74,3195,0.7198170731707317,0.977363107984093
0.23,1582,1709,89,3180,0.7259146341463415,0.9727745487916795
0.24,1633,1658,101,3168,0.7318597560975609,0.9691037014377486
0.25,1673,1618,111,3158,0.7364329268292683,0.9660446619761395
0.26,1715,1576,120,3149,0.7414634146341463,0.9632915264606914
0.27,1753,1538,131,3138,0.745579268292683,0.9599265830529213
0.28,1799,1492,141,3128,0.7510670731707317,0.9568675435913123
0.29,1843,1448,152,3117,0.7560975609756098,0.9535026001835424
0.3,1901,1390,172,3097,0.761890243902439,0.9473845212603242
0.31,1962,1329,185,3084,0.7692073170731707,0.9434077699602325
0.32,2011,1280,202,3067,0.7740853658536585,0.9382074028754971
0.33,2061,1230,223,3046,0.7785060975609757,0.931783420006118
0.34,2103,1188,243,3026,0.781859756097561,0.9256653410829
0.35,2155,1136,267,3002,0.7861280487804878,0.9183236463750383
0.36,2198,1093,283,2986,0.7902439024390244,0.9134291832364637
0.37,2248,1043,308,2961,0.7940548780487805,0.9057815845824411
0.38,2293,998,350,2919,0.7945121951219513,0.892933618843683
0.39,2343,948,387,2882,0.7964939024390244,0.8816151728357295
0.4,2396,895,426,2843,0.7986280487804878,0.8696849189354543
0.41,2454,837,468,2801,0.8010670731707317,0.8568369531966963
0.42,2528,763,506,2763,0.8065548780487805,0.8452126032425819
0.43,2587,704,542,2727,0.8100609756097561,0.8342000611807893
0.44,2629,662,578,2691,0.8109756097560976,0.8231875191189967
0.45,2674,617,617,2652,0.811890243902439,0.8112572652187213
0.46,2717,574,649,2620,0.8135670731707317,0.8014683389415723
0.47,2755,536,683,2586,0.8141768292682927,0.7910676047721016
0.48,2792,499,723,2546,0.813719512195122,0.7788314469256653
0.49,2823,468,754,2515,0.813719512195122,0.7693484245946772
0.5,2852,439,788,2481,0.8129573170731708,0.7589476904252065
0.51,2878,413,825,2444,0.811280487804878,0.747629244417253
